Date,Time,Close
28/05/2021,9:30:00 AM,4208.5
28/05/2021,9:45:00 AM,4207.25
28/05/2021,10:00:00 AM,4208.75
28/05/2021,10:15:00 AM,4210
28/05/2021,10:30:00 AM,4212.75
28/05/2021,10:45:00 AM,4212.25
28/05/2021,11:00:00 AM,4214.5
28/05/2021,11:15:00 AM,4214.25
28/05/2021,11:30:00 AM,4214.25
28/05/2021,11:45:00 AM,4211.75
28/05/2021,12:00:00 PM,4209.75
28/05/2021,12:15:00 PM,4209.25
28/05/2021,12:30:00 PM,4209.5
28/05/2021,12:45:00 PM,4209.75
28/05/2021,1:00:00 PM,4208
28/05/2021,1:15:00 PM,4210.75
28/05/2021,1:30:00 PM,4211.25
28/05/2021,1:45:00 PM,4210.5
28/05/2021,2:00:00 PM,4208.25
28/05/2021,2:15:00 PM,4209.5
28/05/2021,2:30:00 PM,4208.75
28/05/2021,2:45:00 PM,4203.5
28/05/2021,3:00:00 PM,4204
28/05/2021,3:30:00 PM,4203
28/05/2021,3:45:00 PM,4203.25
31/05/2021,9:30:00 AM,4194.75
31/05/2021,9:45:00 AM,4193.75
31/05/2021,10:00:00 AM,4193.5
31/05/2021,10:15:00 AM,4191.75
31/05/2021,10:30:00 AM,4192.25
31/05/2021,10:45:00 AM,4192.75
31/05/2021,11:00:00 AM,4193.75
31/05/2021,11:15:00 AM,4191
31/05/2021,11:30:00 AM,4192.75
31/05/2021,11:45:00 AM,4191.25
1/6/21,9:30:00 AM,4206.75
1/6/21,9:45:00 AM,4201.25
1/6/21,10:00:00 AM,4205
1/6/21,10:15:00 AM,4205
1/6/21,10:30:00 AM,4206.5
1/6/21,10:45:00 AM,4206
1/6/21,11:00:00 AM,4201.75
1/6/21,11:15:00 AM,4203.25
1/6/21,11:30:00 AM,4204.5
1/6/21,11:45:00 AM,4201.25
1/6/21,12:00:00 PM,4196.75
1/6/21,12:15:00 PM,4196.25
1/6/21,12:30:00 PM,4196
1/6/21,12:45:00 PM,4198.75
1/6/21,1:00:00 PM,4199.75
1/6/21,1:15:00 PM,4203.5
1/6/21,1:30:00 PM,4205.5
1/6/21,1:45:00 PM,4206
1/6/21,2:00:00 PM,4203.25
1/6/21,2:15:00 PM,4201.5
1/6/21,2:30:00 PM,4198.5
1/6/21,2:45:00 PM,4199.25
1/6/21,3:00:00 PM,4200
1/6/21,3:30:00 PM,4199.25
1/6/21,3:45:00 PM,4198.5
2/6/21,9:30:00 AM,4211
2/6/21,9:45:00 AM,4209.5
2/6/21,10:00:00 AM,4213.25
2/6/21,10:15:00 AM,4213.5
2/6/21,10:30:00 AM,4213.75
2/6/21,10:45:00 AM,4211
2/6/21,11:00:00 AM,4210.5
2/6/21,11:15:00 AM,4207
2/6/21,11:30:00 AM,4206.25
2/6/21,11:45:00 AM,4207
2/6/21,12:00:00 PM,4205.75
2/6/21,12:15:00 PM,4201
2/6/21,12:30:00 PM,4201.5
2/6/21,12:45:00 PM,4200.5
2/6/21,1:00:00 PM,4197
2/6/21,1:15:00 PM,4200.5
2/6/21,1:30:00 PM,4200
2/6/21,1:45:00 PM,4201.25
2/6/21,2:00:00 PM,4202.25
2/6/21,2:15:00 PM,4200.25
2/6/21,2:30:00 PM,4201
2/6/21,2:45:00 PM,4206.25
2/6/21,3:00:00 PM,4205
2/6/21,3:30:00 PM,4205
2/6/21,3:45:00 PM,4206.75
3/6/21,9:30:00 AM,4175.75
3/6/21,9:45:00 AM,4195.75
3/6/21,10:00:00 AM,4200
3/6/21,10:15:00 AM,4199.25
3/6/21,10:30:00 AM,4197.25
3/6/21,10:45:00 AM,4196.75
3/6/21,11:00:00 AM,4196
3/6/21,11:15:00 AM,4195.5
3/6/21,11:30:00 AM,4199.25
3/6/21,11:45:00 AM,4198
3/6/21,12:00:00 PM,4194.75
3/6/21,12:15:00 PM,4200.25
3/6/21,12:30:00 PM,4198.5
3/6/21,12:45:00 PM,4197.75
3/6/21,1:00:00 PM,4195.75
3/6/21,1:15:00 PM,4193
3/6/21,1:30:00 PM,4192.5
3/6/21,1:45:00 PM,4190.25
3/6/21,2:00:00 PM,4194
3/6/21,2:15:00 PM,4194.5
3/6/21,2:30:00 PM,4193.25
3/6/21,2:45:00 PM,4190.75
3/6/21,3:00:00 PM,4189.5
3/6/21,3:30:00 PM,4191
3/6/21,3:45:00 PM,4191.25
4/6/21,9:30:00 AM,4216.75
4/6/21,9:45:00 AM,4220
4/6/21,10:00:00 AM,4221.25
4/6/21,10:15:00 AM,4221.5
4/6/21,10:30:00 AM,4220.75
4/6/21,10:45:00 AM,4218.75
4/6/21,11:00:00 AM,4220
4/6/21,11:15:00 AM,4218.75
4/6/21,11:30:00 AM,4220.5
4/6/21,11:45:00 AM,4221.5
4/6/21,12:00:00 PM,4222.25
4/6/21,12:15:00 PM,4221
4/6/21,12:30:00 PM,4224
4/6/21,12:45:00 PM,4224.25
4/6/21,1:00:00 PM,4225.5
4/6/21,1:15:00 PM,4227
4/6/21,1:30:00 PM,4229
4/6/21,1:45:00 PM,4227.75
4/6/21,2:00:00 PM,4226.5
4/6/21,2:15:00 PM,4227.5
4/6/21,2:30:00 PM,4229
